date,transaction_type,amount,balance,description
2024-01-01,CREDIT,450000,450000,Opening Balance
2024-01-05,DEBIT,55000,395000,Rent Payment
2024-01-08,CREDIT,144000,539000,Payment - Reliance Retail
2024-01-12,DEBIT,14200,524800,Electricity Bill
2024-01-15,CREDIT,82500,607300,Payment - Tata Steel
2024-01-18,DEBIT,185000,422300,Salaries
2024-01-20,CREDIT,76000,498300,Payment - Aditya Birla
2024-01-25,DEBIT,25000,473300,Marketing - Google Ads
2024-02-02,CREDIT,375000,848300,Payment - Reliance Retail
2024-02-05,DEBIT,55000,793300,Rent - Feb
2024-02-10,CREDIT,240000,1033300,Payment - ITC Limited
2024-02-14,DEBIT,185000,848300,Salaries - Feb
2024-02-18,CREDIT,83600,931900,Payment - Tata Steel
2024-02-22,DEBIT,3200,928700,Water Bill
2024-02-28,CREDIT,168000,1096700,Payment - Aditya Birla
2024-03-03,DEBIT,55000,1041700,Rent - Mar
2024-03-08,CREDIT,114000,1155700,Payment - Reliance Retail
2024-03-12,DEBIT,13800,1141900,Electricity - Mar
2024-03-15,CREDIT,35000,1176900,Payment - ITC Limited
2024-03-20,DEBIT,185000,991900,Salaries - Mar
2024-03-25,CREDIT,75600,1067500,Payment - Tata Steel
2024-04-01,DEBIT,55000,1012500,Rent - Apr
2024-04-05,CREDIT,248000,1260500,Payment - Reliance Retail
2024-04-10,DEBIT,185000,1075500,Salaries - Apr
2024-04-15,CREDIT,76500,1152000,Payment - Aditya Birla
2024-04-20,DEBIT,32000,1120000,PR Event
2024-04-25,CREDIT,412500,1532500,Payment - ITC Limited
2024-05-02,DEBIT,55000,1477500,Rent - May
2024-05-08,CREDIT,39200,1516700,Payment - Tata Steel
2024-05-12,DEBIT,185000,1331700,Salaries - May
2024-05-18,CREDIT,60000,1391700,Payment - Reliance Retail
2024-05-25,DEBIT,22000,1369700,Influencer Campaign
